occurred_on_date,case_count,D_A1,D_A15,D_A7,D_B2,D_B3,D_C11,D_C6,D_D14,D_D4,D_E13,D_E18,D_E5,D_External,day_1,day_2,day_3,day_4,day_5,day_6,day_7
735908,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
735908,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
735909,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
735909,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
735909,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
735909,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
735909,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
735909,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
735910,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
735910,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
735910,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
735910,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
735910,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
735910,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
735911,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,52,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
